Year,Month,Origin,"state","city",ArrdelayCount,MeanArrDelay,AirCount
1995,3,GNV,"FL","Gainesville",34,17.294117,124
1995,3,GRB,"WI","Green Bay",99,15.131313,231
1995,3,GSP,"SC","Greer",374,15.117647,770
1995,3,HOU,"TX","Houston",2678,15.445855,4943
1995,3,HSV,"AL","Huntsville",270,13.392592,616
1995,3,IDA,"ID","Idaho Falls",24,13.541666,91
1995,3,KOA,"HI","Kailua/Kona",40,19.850000,61
1995,3,LEX,"KY","Lexington",156,13.230769,418
1995,3,LGA,"NY","New York",2738,19.548210,8566
1995,3,MDW,"IL","Chicago",1931,13.432936,4097
1995,3,MFE,"TX","McAllen",190,22.921052,329
1995,3,MLB,"FL","Melbourne",158,13.981012,309
1995,3,MOB,"AL","Mobile",308,13.896103,519
1995,3,MSP,"MN","Minneapolis",5594,23.467643,11005
1993,8,HNL,"HI","Honolulu",506,16.620553,1214
1993,8,HOU,"TX","Houston",1472,12.781250,4793
1993,8,HSV,"AL","Huntsville",370,11.440540,732
1993,9,SWF,"NY","Newburgh",149,12.778523,320
1994,1,ACY,"NJ","Atlantic City",36,21.805555,56
1994,1,AGS,"GA","Augusta",136,11.992647,298
1994,1,BZN,"MT","Bozeman",163,18.098159,351
1994,1,CAK,"OH","Akron",78,14.589743,125
1994,1,CDV,"AK","Cordova",28,45.607142,59
1994,1,CID,"IA","Cedar Rapids",192,24.578125,340
1994,1,CSG,"GA","Columbus",56,11.214285,82
1994,1,DAY,"OH","Dayton",588,21.804421,1069
1994,1,DLH,"MN","Duluth",66,15.803030,134
1994,1,ERI,"PA","Erie",91,22.681318,104
1994,1,GFK,"ND","Grand Forks",49,13.244897,112
1994,1,IAH,"TX","Houston",3787,21.949300,7886
1994,1,ICT,"KS","Wichita",283,22.261484,718
1994,1,ITH,"NY","Ithaca",50,18.000000,76
1994,1,JAN,"MS","Jackson",314,14.442675,450
1994,1,MSY,"LA","New Orleans",1726,19.690614,3634
1994,1,ORD,"IL","Chicago",12282,28.709412,20862
1994,1,OTZ,"AK","Kotzebue",45,10.933333,73
1994,1,PSC,"WA","Pasco",62,15.032258,83
1994,1,RST,"MN","Rochester",98,21.479591,272
1994,1,SJU,"PR","San Juan",901,17.607103,1621
1994,1,TOL,"OH","Toledo",120,16.500000,199
1994,1,TPA,"FL","Tampa",2967,23.990562,5232
1994,1,TUS,"AZ","Tucson",621,16.119162,1242
1994,10,ADQ,"AK","Kodiak",14,16.928571,29
1994,10,AKN,"AK","King Salmon",9,7.222222,23
1994,10,AMA,"TX","Amarillo",163,25.693251,349
1994,10,AVP,"PA","Wilkes-Barre/Scranton",85,10.435294,214
1994,10,BIL,"MT","Billings",145,11.834482,303
1994,10,BUF,"NY","Buffalo",685,10.551824,1951
1994,10,CAE,"SC","Columbia",260,11.065384,514
1994,10,CMH,"OH","Columbus",1532,13.406005,3384
1994,10,CRW,"WV","Charleston",114,11.982456,201
1994,10,DAY,"OH","Dayton",778,12.925449,1814
1994,10,DEN,"CO","Denver",5094,14.688064,11418
1994,10,DFW,"TX","Dallas-Fort Worth",12665,32.638847,21887
1994,10,DLH,"MN","Duluth",56,8.464285,147
1994,10,FAR,"ND","Fargo",61,13.393442,197
1995,6,LGA,"NY","New York",3496,22.940789,8073
1995,6,MDW,"IL","Chicago",2103,22.118877,4021
1995,6,MFE,"TX","McAllen",146,13.965753,345
1995,6,MGM,"AL","Montgomery",120,21.591666,210
1995,6,MLB,"FL","Melbourne",109,13.788990,236
1995,6,MOB,"AL","Mobile",226,17.424778,415
1995,6,MSO,"MT","Missoula",80,12.587500,149
1995,6,MSP,"MN","Minneapolis",5984,24.288937,11292
1995,6,RDU,"NC","Raleigh",872,20.262614,1989
1995,6,SBN,"IN","South Bend",100,14.750000,277
1995,6,SDF,"KY","Louisville",1118,19.853309,1974
1995,6,SFO,"CA","San Francisco",6464,22.728650,10701
1995,7,ABE,"PA","Allentown",223,26.327354,587
1995,7,ALB,"NY","Albany",377,19.559681,970
1995,7,AUS,"TX","Austin",1344,15.680059,3094
1995,7,BGM,"NY","Binghamton",40,15.725000,121
1995,7,BOI,"ID","Boise",365,18.589041,897
1992,2,ISP,"NY","Islip",124,14.806451,373
1992,2,JFK,"NY","New York",1351,21.413767,2925
1992,2,LAN,"MI","Lansing",128,16.460937,210
1992,2,MEM,"TN","Memphis",1963,12.876719,3989
1992,2,MIA,"FL","Miami",2408,16.277408,5390
1992,2,MRY,"CA","Monterey",41,26.731707,80
1992,2,MSO,"MT","Missoula",87,10.804597,191
1992,7,MDT,"PA","Harrisburg",446,17.811659,776
1992,7,MIA,"FL","Miami",2748,19.891921,5862
1992,7,MSN,"WI","Madison",321,13.414330,661
1992,7,MYR,"SC","Myrtle Beach",132,11.416666,225
1992,7,OAJ,"NC","Jacksonville",41,9.658536,88
1992,7,OAK,"CA","Oakland",1025,10.890731,3102
1992,7,OGG,"HI","Kahului",105,13.152380,260
1992,7,ORH,"MA","Worcester",105,13.476190,172
1992,7,PFN,"FL","Panama City",59,20.152542,91
1992,7,PNS,"FL","Pensacola",336,15.970238,753
1992,7,PSP,"CA","Palm Springs",125,9.504000,315
1992,7,RAP,"SD","Rapid City",124,11.596774,244
1992,7,SAT,"TX","San Antonio",1413,10.610757,2901
1992,7,SAV,"GA","Savannah",331,16.909365,650
1992,7,SGF,"MO","Springfield",64,10.875000,119
1992,7,STT,"VI","Charlotte Amalie",131,11.290076,239
1992,7,STX,"VI","Christiansted",73,23.465753,191
1992,7,TLH,"FL","Tallahassee",389,12.290488,628
1992,7,TVC,"MI","Traverse City",35,11.114285,61
1992,7,TYS,"TN","Knoxville",280,20.525000,733
1992,7,VPS,"FL","Valparaiso",23,3.782608,90
1992,8,ACY,"NJ","Atlantic City",48,13.020833,66
1992,8,AGS,"GA","Augusta",127,14.236220,292
1992,8,ATL,"GA","Atlanta",11980,19.190901,17418
1992,8,AVL,"NC","Asheville",139,16.258992,225
1992,8,CAK,"OH","Akron",105,15.428571,206
1992,8,CDV,"AK","Cordova",41,26.292682,55
1992,8,CID,"IA","Cedar Rapids",159,17.691823,398
1992,8,CLE,"OH","Cleveland",2427,16.030490,4864
1992,8,CSG,"GA","Columbus",49,9.428571,85
1992,8,ERI,"PA","Erie",99,14.363636,122
1993,12,FLL,"FL","Ft. Lauderdale",1923,18.114924,3228
1993,12,GTF,"MT","Great Falls",86,12.883720,206
1993,12,HLN,"MT","Helena",48,13.145833,91
1993,12,HRL,"TX","Harlingen",208,11.413461,518
1993,12,HTS,"WV","Huntington",78,9.397435,111
1993,12,JAC,"WY","Jackson",81,23.098765,134
1993,12,MCO,"FL","Orlando",3521,15.695541,6164
1993,12,MLI,"IL","Moline",107,21.672897,219
1993,12,PSE,"PR","Ponce",5,9.600000,9
1993,12,PVD,"RI","Providence",514,17.007782,1102
1993,12,RIC,"VA","Richmond",604,21.465231,1301
1993,12,SHV,"LA","Shreveport",262,16.706106,392
1993,12,SJC,"CA","San Jose",1104,16.881340,2836
1993,12,SJU,"PR","San Juan",960,15.750000,1759
1993,12,SNA,"CA","Santa Ana",1411,16.890148,2638
1993,12,TUS,"AZ","Tucson",557,14.910233,1266
1993,12,YAK,"AK","Yakutat",29,15.103448,54
1993,7,BIS,"ND","Bismarck",120,13.200000,238
1993,7,CHA,"TN","Chattanooga",129,12.271317,316
1993,7,CPR,"WY","Casper",61,8.901639,89
1993,7,DTW,"MI","Detroit",4296,16.356843,10647
1993,7,FAT,"CA","Fresno",165,11.466666,359
1993,7,FAY,"NC","Fayetteville",78,8.153846,263
1993,7,FWA,"IN","Fort Wayne",107,12.074766,234
1993,7,GEG,"WA","Spokane",299,15.882943,588
1993,7,GRR,"MI","Grand Rapids",357,12.224089,823
1993,7,KTN,"AK","Ketchikan",127,18.464566,266
1993,7,LFT,"LA","Lafayette",8,3.500000,26
1993,7,MAF,"TX","Midland",180,7.816666,560
1993,7,MDT,"PA","Harrisburg",293,13.529010,715
1993,7,MSN,"WI","Madison",134,10.529850,403
1993,7,OME,"AK","Nome",50,8.820000,111
1993,7,ORH,"MA","Worcester",15,15.533333,23
1993,7,PDX,"OR","Portland",1526,14.127129,3364
1993,7,PFN,"FL","Panama City",97,8.639175,120
1993,7,PHL,"PA","Philadelphia",3090,17.865695,8088
1993,7,PNS,"FL","Pensacola",299,9.404682,510
1993,7,PSG,"AK","Petersburg",42,17.238095,57
1993,7,PSP,"CA","Palm Springs",33,21.060606,93
1994,11,BUF,"NY","Buffalo",730,19.839726,1890
1991,11,CVG,"KY","Covington",3362,15.184414,5433
1991,11,DCA,"VA","Arlington",3007,17.048553,6806
1991,11,ELP,"TX","El Paso",872,11.368119,2016
1991,11,FAR,"ND","Fargo",103,19.970873,203
1991,11,GJT,"CO","Grand Junction",59,15.661016,78
1991,11,ISO,"NC","Kinston",11,6.454545,54
1991,11,LGB,"CA","Long Beach",353,15.161473,670
1991,11,LSE,"WI","La Crosse",46,23.652173,94
1991,5,IND,"IN","Indianapolis",1928,17.023858,3636
1991,5,ISP,"NY","Islip",175,19.800000,499
1991,5,ITH,"NY","Ithaca",59,7.220338,90
1991,5,JAN,"MS","Jackson",311,16.556270,623
1991,5,JAX,"FL","Jacksonville",756,17.132275,1616
1991,5,LAN,"MI","Lansing",103,6.504854,236
1991,5,MDW,"IL","Chicago",1808,19.896017,4692
1991,5,MGM,"AL","Montgomery",92,14.489130,203
1991,5,MLB,"FL","Melbourne",143,13.251748,382
1991,5,MOB,"AL","Mobile",401,16.857855,689
1991,5,MRY,"CA","Monterey",61,18.606557,88
1991,5,MSO,"MT","Missoula",80,9.187500,214
1991,5,MSP,"MN","Minneapolis",3656,19.636761,8902
1991,5,ONT,"CA","Ontario",1515,13.653465,3200
1991,5,ORD,"IL","Chicago",10628,29.742190,22078
1991,5,PVD,"RI","Providence",499,17.144288,1336
1991,5,RDU,"NC","Raleigh",1920,14.937500,4854
1991,5,SDF,"KY","Louisville",679,13.415316,1503
1991,5,SFO,"CA","San Francisco",6157,17.395322,10516
1991,5,TPA,"FL","Tampa",1843,15.062398,4418
1991,6,AUS,"TX","Austin",1179,12.579304,2456
1991,6,BET,"AK","Bethel",22,7.545454,49
1991,6,BGM,"NY","Binghamton",27,8.333333,148
1991,6,BOS,"MA","Boston",3248,18.790640,7502
1991,6,BUR,"CA","Burbank",765,15.296732,2032
1992,1,HSV,"AL","Huntsville",309,14.537216,652
1992,1,KOA,"HI","Kailua/Kona",21,31.857142,61
1992,1,LGA,"NY","New York",3080,21.134090,8449
1992,1,LNK,"NE","Lincoln",95,16.989473,199
1992,1,MDW,"IL","Chicago",521,16.692898,1827
1992,1,MKE,"WI","Milwaukee",848,15.459905,1862
1992,1,PBI,"FL","West Palm Beach",1460,15.602739,2324
1992,1,PHX,"AZ","Phoenix",5274,14.676336,11614
1992,1,PWM,"ME","Portland",293,13.488054,636
1992,1,ROA,"VA","Roanoke",130,11.446153,284
1992,1,SBA,"CA","Santa Barbara",88,15.079545,257
1992,1,SFO,"CA","San Francisco",5213,16.195281,9988
1992,1,SLC,"UT","Salt Lake City",3837,22.140995,5605
1992,1,SUX,"IA","Sioux City",66,15.651515,131
1992,1,WRG,"AK","Wrangell",11,30.545454,54
1992,10,ACY,"NJ","Atlantic City",29,8.896551,50
1992,10,AGS,"GA","Augusta",135,16.474074,274
1992,10,ATL,"GA","Atlanta",11784,13.481585,17461
1992,10,AVL,"NC","Asheville",111,15.288288,203
1992,4,BIL,"MT","Billings",138,12.963768,412
1992,4,BLI,"WA","Bellingham",5,12.800000,29
1992,4,BUF,"NY","Buffalo",938,14.374200,2071
1992,4,CAE,"SC","Columbia",329,10.170212,648
1992,4,CMH,"OH","Columbus",1478,16.600135,2969
1992,4,DAY,"OH","Dayton",660,13.580303,1447
1992,4,DFW,"TX","Dallas-Fort Worth",10257,14.825095,20710
1992,4,DLH,"MN","Duluth",28,16.321428,140
1992,4,ELP,"TX","El Paso",974,9.928131,2107
1992,4,FAR,"ND","Fargo",62,7.661290,226
1992,4,GJT,"CO","Grand Junction",43,9.093023,62
1992,4,GUC,"CO","Gunnison",3,6.666666,5
1992,4,LGB,"CA","Long Beach",202,9.074257,505
1992,4,LSE,"WI","La Crosse",51,12.156862,110
1992,4,MCI,"MO","Kansas City",1497,11.925851,3945
1992,4,MHT,"NH","Manchester",175,14.942857,364
1992,4,MLU,"LA","Monroe",77,10.467532,205
1992,4,OMA,"NE","Omaha",565,13.630088,1255
1992,4,ORF,"VA","Norfolk",783,15.099616,1563
1992,9,PVD,"RI","Providence",575,16.446956,1283
1992,9,RIC,"VA","Richmond",644,14.656832,1368
1992,9,SHV,"LA","Shreveport",246,11.544715,475
1992,9,SJC,"CA","San Jose",1219,10.575061,3246
1992,9,SNA,"CA","Santa Ana",799,11.722152,2246
1992,9,TUL,"OK","Tulsa",930,11.886021,2100
1992,9,YAK,"AK","Yakutat",43,16.418604,50
1993,1,BET,"AK","Bethel",34,34.735294,54
1993,1,BFL,"CA","Bakersfield",25,42.880000,62
1993,1,BGR,"ME","Bangor",97,13.298969,205
1993,1,BHM,"AL","Birmingham",729,15.596707,1293
1993,1,BWI,"MD","Baltimore",2260,16.962831,4046
1993,1,DLG,"AK","Dillingham",10,16.400000,13
1993,1,EWR,"NJ","Newark",4830,21.003519,9296
1993,1,FNT,"MI","Flint",28,15.035714,56
1993,1,GNV,"FL","Gainesville",119,18.705882,235
1993,1,GRB,"WI","Green Bay",90,16.511111,227
1993,1,GSP,"SC","Greer",296,13.094594,577
1993,1,GUM,"GU","Agana",108,15.324074,281
1993,1,HSV,"AL","Huntsville",371,12.382749,642
1993,1,HVN,"CT","New Haven",56,26.250000,105
1993,3,JNU,"AK","Juneau",92,12.565217,233
1993,3,LAS,"NV","Las Vegas",3904,16.404969,7427
1993,3,LAX,"CA","Los Angeles",6753,18.761587,12570
1993,3,LBB,"TX","Lubbock",343,14.390670,760
1993,3,LIT,"AR","Little Rock",702,14.522792,1383
1993,3,MFR,"OR","Medford",56,18.696428,113
1993,3,MOT,"ND","Minot",74,12.756756,147
1993,3,OKC,"OK","Oklahoma City",1236,16.366504,2114
1993,3,PIT,"PA","Pittsburgh",5039,24.482833,9382
1993,3,RNO,"NV","Reno",783,14.623243,1444
1993,3,SAN,"CA","San Diego",2748,16.262372,5025
1993,3,SIT,"AK","Sitka",57,12.070175,104
1993,3,STL,"MO","St Louis",5687,21.390363,10596
1993,4,ABE,"PA","Allentown",209,11.033492,507
1993,4,AKN,"AK","King Salmon",3,11.000000,13
1993,4,AMA,"TX","Amarillo",204,13.416666,485
1993,4,AVP,"PA","Wilkes-Barre/Scranton",106,10.047169,202
1993,4,BOI,"ID","Boise",188,13.771276,438
1993,4,CAE,"SC","Columbia",269,12.817843,507
1993,8,ORD,"IL","Chicago",13703,25.770269,24721
1993,8,OTZ,"AK","Kotzebue",66,11.803030,120
1993,8,PSC,"WA","Pasco",58,7.931034,93
1993,8,PVD,"RI","Providence",468,17.482905,1137
1993,8,SJU,"PR","San Juan",843,13.354685,1858
1993,8,TPA,"FL","Tampa",2078,16.826275,4503
1993,8,TUS,"AZ","Tucson",529,13.206049,1252
1993,9,AUS,"TX","Austin",857,10.485414,2570
1993,9,BGM,"NY","Binghamton",37,10.216216,111
1993,9,BQN,"PR","Aguadilla",13,17.538461,57
1993,9,BUR,"CA","Burbank",513,11.920077,2160
1993,9,CLT,"NC","Charlotte",4403,14.392005,9676
1993,9,COS,"CO","Colorado Springs",394,13.215736,941
1994,11,SMF,"CA","Sacramento",1306,15.724349,2716
1994,11,SYR,"NY","Syracuse",554,16.397111,1240
1994,11,TRI,"TN","Bristol",129,12.790697,242
1994,12,AGS,"GA","Augusta",179,10.033519,255
1994,12,BNA,"TN","Nashville",1846,13.948537,3993
1994,12,BZN,"MT","Bozeman",87,14.183908,180
1994,12,CAK,"OH","Akron",53,10.452830,121
1994,12,CDV,"AK","Cordova",31,14.645161,55
1991,4,SEA,"WA","Seattle",2855,17.588441,5851
1991,4,SRQ,"FL","Sarasota",679,15.116347,1209
1991,4,STL,"MO","St Louis",4651,15.742205,9322
1991,4,SWF,"NY","Newburgh",189,16.089947,374
1991,5,ACY,"NJ","Atlantic City",50,7.640000,89
1991,5,BFL,"CA","Bakersfield",70,11.914285,179
1991,5,BGR,"ME","Bangor",82,12.658536,233
1991,5,BHM,"AL","Birmingham",780,13.921794,1378
1991,5,BTV,"VT","Burlington",190,15.415789,492
1991,5,BWI,"MD","Baltimore",2187,16.561957,4994
1991,5,CLE,"OH","Cleveland",1972,17.604462,5010
1991,5,CMI,"IL","Champaign/Urbana",33,7.636363,93
1991,5,DAB,"FL","Daytona Beach",245,12.681632,449
1991,5,DET,"MI","Detroit",222,17.896396,441
1991,5,GFK,"ND","Grand Forks",25,16.400000,116
1991,5,IDA,"ID","Idaho Falls",71,11.183098,121
1991,8,FAI,"AK","Fairbanks",193,13.031088,334
1991,8,FAY,"NC","Fayetteville",130,15.176923,210
1991,8,GRR,"MI","Grand Rapids",336,12.363095,898
1991,8,HPN,"NY","White Plains",123,18.308943,273
1991,8,KTN,"AK","Ketchikan",148,25.162162,229
1991,8,LAS,"NV","Las Vegas",4129,15.838217,7579
1991,8,LFT,"LA","Lafayette",56,10.696428,97
1991,8,LIH,"HI","Lihue",3,5.666666,30
1991,8,MDT,"PA","Harrisburg",286,13.227272,728
1991,8,MFR,"OR","Medford",79,22.443037,112
1991,8,OME,"AK","Nome",47,13.765957,120
1991,8,PDX,"OR","Portland",1984,14.254536,3361
1991,8,PHL,"PA","Philadelphia",3187,20.941951,7062
1991,8,PIT,"PA","Pittsburgh",5497,15.186283,10130
1991,8,PSG,"AK","Petersburg",32,28.812500,58
1991,8,RST,"MN","Rochester",87,12.448275,247
1991,8,SAN,"CA","San Diego",2826,17.192852,5241
1991,8,STT,"VI","Charlotte Amalie",85,21.694117,237
1992,11,LNK,"NE","Lincoln",127,24.220472,241
1992,11,MCI,"MO","Kansas City",1828,15.240153,3995
